,zeitpunkt,bruttolastgang,status
376,2022-01-04T22:00,74369.731584,E
377,2022-01-04T22:15,72673.049984,E
378,2022-01-04T22:30,70966.421104,E
379,2022-01-04T22:45,69091.207662,E
380,2022-01-04T23:00,67326.326196,E
381,2022-01-04T23:15,65654.181115,E
382,2022-01-04T23:30,64561.419286,E
383,2022-01-04T23:45,63326.032373,E
384,2022-01-05T00:00,62288.435484,E
385,2022-01-05T00:15,65511.258328,E
386,2022-01-05T00:30,65090.587174,E
387,2022-01-05T00:45,63509.663319,E
388,2022-01-05T01:00,61839.992916,E
389,2022-01-05T01:15,60282.899289,E
390,2022-01-05T01:30,58827.280566,E
391,2022-01-05T01:45,58039.428177,E
392,2022-01-05T02:00,57241.263,E
393,2022-01-05T02:15,59853.099888,E
394,2022-01-05T02:30,59706.287496,E
395,2022-01-05T02:45,58529.905296,E
396,2022-01-05T03:00,57811.394075,E
397,2022-01-05T03:15,57260.334028,E
398,2022-01-05T03:30,56502.763949,E
399,2022-01-05T03:45,56087.103278,E
400,2022-01-05T04:00,56087.476175,E
401,2022-01-05T04:15,56426.489107,E
402,2022-01-05T04:30,56497.53116,E
403,2022-01-05T04:45,56998.907607,E
404,2022-01-05T05:00,57406.17056,E
405,2022-01-05T05:15,59502.809045,E
406,2022-01-05T05:30,61006.557116,E
407,2022-01-05T05:45,62930.015064,E
408,2022-01-05T06:00,65222.506488,E
409,2022-01-05T06:15,69263.462944,E
410,2022-01-05T06:30,72096.109931,E
411,2022-01-05T06:45,74907.675772,E
412,2022-01-05T07:00,77336.461248,E
413,2022-01-05T07:15,81879.091277,E
414,2022-01-05T07:30,84623.708834,E
415,2022-01-05T07:45,88068.09691,E
416,2022-01-05T08:00,90353.565195,E
417,2022-01-05T08:15,92884.536116,E
418,2022-01-05T08:30,94463.216861,E
419,2022-01-05T08:45,95472.846705,E
420,2022-01-05T09:00,96454.034485,E
421,2022-01-05T09:15,97265.486115,E
422,2022-01-05T09:30,97760.594743,E
423,2022-01-05T09:45,98806.522285,E
424,2022-01-05T10:00,100202.971723,E
425,2022-01-05T10:15,101069.437783,E
426,2022-01-05T10:30,101763.901205,E
427,2022-01-05T10:45,102350.141238,E
428,2022-01-05T11:00,102444.650791,E
429,2022-01-05T11:15,102634.241135,E
430,2022-01-05T11:30,102383.857091,E
431,2022-01-05T11:45,103002.833739,E
432,2022-01-05T12:00,104166.575729,E
433,2022-01-05T12:15,105768.708176,E
434,2022-01-05T12:30,104644.532861,E
435,2022-01-05T12:45,103301.807946,E
